gameshow,view,like,comment,hashtag_gameshow
Anh Trai Say Hi,4074611,54000,3158.0,#anhtraisayhi
Miss International Queen Vietnam 2025 (producer/NSX),2987005,21000,4747.0,#missinternational
Tỉ tỉ đạp gió rẽ sóng Trung Quốc,1180978,7900,793.0,#titiapgioresongtrungquoc
Miss Universe Vietnam 2024 (producer/organizing team),2373620,94000,1439.0,#missuniverse
Miss Universe 2025 (Vietnam representative),3875060,47000,10046.0,#missuniverse
2 Ngày 1 đêm,5459974,58000,4865.0,#2ngay1dem
Running Man Việt Nam,14391242,146000,11491.0,#runningman
Em Xinh Say Hi ,10269730,88000,10798.0,#emxinhsayhi
Anh trai vượt ngàn chông gai,9281327,105000,1982.0,#anhtraivuotnganchonggai
Chị đẹp đạp gió rẽ sóng,5163262,129000,6271.0,#chidepdapgioresong
Rap Việt Mùa 4,10190568,245000,13428.0,#rapviet
Ai là ai,1602082,10000,1088.0,#ailaai
